#{"t_start": 1754318041.166827, "env_id": "None"}
r,l,t
0.008698,400,6.989131
-0.042902,400,7.173168
0.118241,400,7.345872
-0.034112,400,7.533259
0.176642,400,7.708199
0.520684,400,14.835137
0.514786,400,15.001043
0.238414,400,15.172833
0.181286,400,15.354016
-0.06368,400,15.522782
0.325728,400,22.691704
0.362996,400,22.86445
0.422364,400,23.02861
0.28436,400,23.196331
0.169264,400,23.36654
0.160425,400,30.659491
0.144028,400,30.827478
0.59119,400,30.992594
0.226059,400,31.158141
0.053835,400,31.327998
0.070296,400,38.73133
0.151877,400,38.9067
0.065517,400,39.089617
0.073354,400,39.274204
0.031824,400,39.448712
-1.109672,400,47.189376
-0.027334,400,47.358852
-0.591275,400,47.530352
0.404167,400,47.710082
0.399793,400,47.901914
0.270615,400,55.366274
-0.198054,400,55.538496
-0.953727,400,55.724801
-0.423653,400,55.902697
-1.021672,400,56.074441
,400,11.167582
-0.54154,400,11.366365
-0.502166,400,11.570988
-0.777267,400,11.775696
0.395079,400,11.966426
0.385275,400,12.580839
0.218422,400,12.783893
-1.08866,400,12.982879
0.064683,400,13.164352
-0.637496,400,13.346377
-0.111878,400,13.532929
-0.74427,400,14.115863
0.262239,400,14.299657
-1.270702,400,14.484231
-0.113338,400,14.663216
-0.862925,400,15.738461
-1.456465,400,16.364384
0.482163,400,16.559577
-0.370404,400,16.768486
-0.501488,400,17.007906
-0.118599,400,17.213027
0.500633,400,17.872304
0.337799,400,18.090205
-1.252401,400,18.281802
-0.742816,400,18.46565
0.193336,400,18.647287
-0.636456,400,19.216662
-1.023951,400,19.409446
-0.76514,400,19.592176
-0.146159,400,19.777671
-0.106321,400,19.962061
-0.889065,400,20.582947
-1.524477,400,20.790661
-0.212063,400,20.99195
0.29149,400,21.183275
0.225984,400,21.394569
0.137936,400,21.935691
-0.360692,400,22.127112
-0.489377,400,22.311176
-1.515154,400,22.527707
0.067847,400,23.583505
0.232252,400,24.174741
-0.123057,400,24.373918
-0.576415,400,24.563748
-0.915067,400,24.767309
-0.863101,400,24.953505
-0.471855,400,25.589202
0.594099,400,25.833729
-0.691776,400,26.0453
-1.259154,400,26.246176
0.323611,400,26.447069
0.736343,400,26.639271
0.251645,400,27.317627
-0.453655,400,27.502737
-0.825292,400,27.685735
0.08572,400,27.891185
-1.462465,400,28.111542
-1.088969,400,28.68679
0.386863,400,28.879921
-0.529762,400,29.07203
0.242519,400,29.272558
-0.602951,400,29.460328
-0.174911,400,30.104268
0.287467,400,30.323666
0.361243,400,30.507527
-0.568579,400,31.555654
-0.970715,400,31.759232
-0.126594,400,32.373993
0.665846,400,32.577297
-0.423967,400,32.770023
0.020784,400,32.968977
-0.286633,400,33.199266
-0.275839,400,33.846119
-1.005294,400,34.046748
-0.016737,400,34.261641
-1.136655,400,34.475057
0.010881,400,34.669715
-0.373548,400,35.21964
-0.920508,400,35.420974
0.106052,400,35.630502
0.142443,400,35.866894
0.033245,400,36.057877
0.353315,400,36.688874
0.293076,400,36.912717
0.143773,400,37.108717
0.44364,400,37.30402
0.160141,400,37.503026
-0.415777,400,38.155329
0.21194,400,38.36059
0.245392,400,38.561234
0.270306,400,39.660174
-0.502861,400,39.850555
-0.64274,400,40.032252
-0.575889,400,40.667506
-0.150661,400,40.876868
-1.440809,400,41.082993
-0.007483,400,41.273835
0.259799,400,41.478305
0.207277,400,42.23958
0.304911,400,42.449465
0.523962,400,42.652416
-1.379333,400,42.857229
-1.025446,400,43.054698
-0.764303,400,43.690261
-1.095037,400,43.88675
10.402874,343,44.057369
0.163261,400,44.24436
0.263387,400,44.432676
-0.630057,400,45.137199
0.225056,400,45.360489
-1.258535,400,45.596107
-0.18336,400,45.8329
-1.090307,400,46.065142
0.166316,400,46.77665
-0.761942,400,47.002319
0.164434,400,48.119975
-0.740384,400,48.356218
0.301611,400,48.578216
0.023664,400,49.241248
-0.799607,400,49.466275
-0.983908,400,49.664523
-0.195366,400,49.860583
-0.138247,400,50.058489
-1.182977,400,50.720472
-0.596418,400,50.935378
-0.924723,400,51.130785
-0.540183,400,51.345752
-0.218021,400,51.544073
-0.428415,400,52.179917
0.340354,400,52.403065
0.22906,400,52.603755
0.303317,400,52.807824
0.22735,400,53.003558
-0.272605,400,53.194521
0.276775,400,53.805405
0.11759,400,53.99575
0.29322,400,54.184797
-0.272645,400,54.376941
0.036183,400,54.561516
-0.695837,400,55.170239
9.976662,105,56.117062
0.185092,400,56.307726
0.041854,400,56.498848
-0.092453,400,56.701517
-0.836356,400,56.906005
-0.457004,400,57.630433
-0.659989,400,57.918522
-0.269014,400,58.195162
0.066036,400,58.405394
0.106737,400,58.645446
-0.922707,400,59.386262
-0.464093,400,59.592243
-0.180719,400,59.783262
10.085551,63,59.814574
0.154529,400,60.007431
0.260239,400,60.209989
-0.317336,400,60.811991
-0.112146,400,61.018421
-0.453046,400,61.237966
