#{"t_start": 1754401690.010273, "env_id": "None"}
r,l,t
0.330065,400,6.409652
0.041679,400,6.541699
10.368096,113,6.577699
0.361002,400,6.735843
10.67017,116,6.777776
-0.310705,400,13.646435
0.131504,400,13.778664
10.727441,118,13.823332
10.527005,82,13.86097
0.185964,400,14.001176
10.575601,99,20.001606
10.83234,89,20.028919
0.507653,400,20.162292
10.520618,77,20.191179
-0.347184,400,20.310074
10.289612,92,26.408444
10.167141,103,26.441781
0.139148,400,26.574903
10.396445,124,26.615005
0.454568,400,26.748609
10.391425,84,33.513341
-0.228699,400,33.649559
10.956125,172,33.704826
10.655248,92,33.733502
10.35933,95,33.766102
10.762213,139,40.153413
10.541892,132,40.197259
-0.345439,400,40.329077
0.403639,400,40.463148
10.701125,121,40.503546
10.543778,81,47.477795
0.160609,400,47.606073
0.55471,400,47.738833
10.614887,86,47.763517
0.445347,400,47.899892
10.299612,89,54.249593
-0.357425,400,54.432343
10.319577,135,54.479455
0.009696,400,54.659129
10.598119,79,54.688041
5,7.700469
-0.20052,400,7.848998
-0.181568,400,8.024414
10.712435,85,8.059897
10.601724,131,8.107169
0.397427,400,8.773798
0.368116,400,8.994908
10.851976,221,9.079436
0.378683,400,9.223511
-0.275447,400,9.405409
10.771782,86,9.456367
0.198795,400,9.626097
0.64066,400,10.381752
10.157894,89,10.426239
-0.439147,400,10.573066
10.352696,104,10.612012
0.418225,400,10.752417
0.456047,400,10.892649
10.851305,168,10.956244
-0.427655,400,11.669559
0.385071,400,11.829274
-0.190069,400,11.962917
10.935227,167,12.018091
10.641672,149,12.065388
10.714143,95,12.095144
10.709122,139,12.145411
0.072766,400,12.307544
0.489109,400,12.967135
0.39159,400,13.122266
10.561417,51,13.142249
0.444462,400,13.312491
-0.104297,400,14.027282
10.398811,46,14.048491
10.649915,96,14.083762
10.357995,105,14.117981
10.549889,70,14.141813
0.458401,400,14.843171
0.475382,400,15.002595
10.646645,104,15.044315
-0.52827,400,15.226808
0.350368,400,15.39993
10.680572,115,15.440338
0.133482,400,15.950037
10.680407,133,16.014983
0.150951,400,16.191439
10.82348,85,16.218875
0.502147,400,16.354136
-0.328144,400,16.496732
10.575043,84,16.532292
10.692473,117,16.576286
-0.455151,400,16.728934
10.911947,163,17.220575
10.555092,142,17.285229
0.241126,400,17.435167
0.372494,400,17.569586
10.609119,113,17.607989
10.552685,49,17.624589
-0.35361,400,17.757264
-0.871788,400,18.284363
-0.838412,400,18.486388
0.419271,400,18.630813
-0.066337,400,18.780488
0.387994,400,18.915168
0.371698,400,19.062704
-0.254928,400,19.620225
0.149616,400,19.800681
10.780334,160,19.855072
10.281674,111,19.889891
-0.215856,400,20.372239
0.335852,400,20.509599
10.574443,54,20.527535
-0.399847,400,21.069403
0.391253,400,21.225587
0.074507,400,21.373566
10.27378,99,21.406242
-0.447355,400,21.536683
10.435421,72,21.562174
10.812857,166,21.618223
0.045024,400,22.14046
0.442092,400,22.327613
10.764857,140,22.380666
10.32093,203,22.44868
0.063638,400,22.581695
-0.333345,400,22.717953
-0.026047,400,23.20858
0.007752,400,23.409531
10.548227,62,23.439174
0.420239,400,23.635581
-0.076974,400,23.785143
0.12454,400,23.965739
10.116158,79,23.993543
10.579002,84,24.025534
10.473526,93,24.061747
10.798489,167,24.603791
0.377332,400,24.829194
10.433925,101,24.870814
-0.490508,400,25.022052
10.602213,86,25.052366
-0.53704,400,25.188121
0.026666,400,25.330695
-0.505898,400,26.042217
10.909026,157,26.122092
-0.063099,400,26.261938
10.624445,88,26.296309
10.634055,75,26.326374
10.566114,73,26.35659
0.392173,400,26.901399
10.736169,119,26.949661
10.628048,100,26.988992
10.91726,177,27.059525
10.481581,45,27.077468
-0.282714,400,27.682948
0.671144,400,27.859495
10.33389,76,27.888025
10.743039,85,27.922987
-0.396704,400,28.067641
10.640909,72,28.092441
10.215912,94,28.12702
-0.067435,400,28.267827
0.49468,400,28.843456
0.020484,400,29.060828
0.432133,400,29.206814
10.633132,111,29.246953
10.821218,141,29.297381
-0.037396,400,29.444005
10.413756,132,29.491258
0.64461,400,30.025982
0.14147,400,30.256582
0.168867,400,30.412763
0.399976,400,30.562256
-0.475943,400,30.711987
0.607395,400,30.878179
10.502928,119,31.535594
0.546895,400,31.76764
10.770684,224,31.870674
0.411203,400,32.052782
10.740022,253,32.178105
-0.330447,400,32.402939
10.264295,84,32.441046
0.062877,400,33.206417
10.399873,43,33.231459
0.0835,400,33.409783
10.32169,166,33.475738
0.384547,400,33.927335
-0.1737,400,34.078289
10.233637,113,34.126158
0.029585,400,34.829225
10.504414,47,34.854371
10.336274,132,34.922394
0.124944,400,35.089727
-0.465372,400,35.236399
-0.243499,400,35.38212
0.082461,400,35.538002
0.511769,400,36.187847
0.471945,400,36.386308
10.353327,133,36.436323
10.474759,47,36.45689
-0.3597,400,36.609741
-0.084983,400,36.752966
10.663673,160,36.821131
10.766364,135,36.874456
10.175563,96,36.910651
-0.023625,400,37.519525
10.628801,65,37.555029
10.509472,76,37.586424
10.432215,126,37.630714
-0.433309,400,37.773084
0.388643,400,37.929706
10.786764,147,37.983561
10.799643,84,38.01366
10.612537,96,38.047308
0.509057,400,38.606549
0.115426,400,38.80136
10.45177,87,38.832603
0.025722,400,38.982296
10.763306,165,39.053303
0.405151,400,39.201718
0.487281,400,39.355779
10.897595,178,39.848241
10.353553,115,39.910362
10.583292,87,39.956182
10.55317,87,39.999478
10.329345,92,40.046576
10.697156,164,40.11512
-0.503306,400,40.669868
0.400467,400,40.824522
-0.474133,400,40.995368
-0.367682,400,41.734267
10.983659,97,41.794848
10.651578,104,41.859516
0.015089,400,42.029892
10.886367,157,42.089755
10.63682,82,42.120001
0.388508,400,42.264807
10.894629,157,42.326732
0.20568,400,42.472774
0.275525,400,43.067842
0.17279,400,43.248067
10.932009,176,43.330158
10.705552,92,43.377986
10.65314,80,43.41968
10.771702,86,43.469741
0.401955,400,43.64206
0.441244,400,43.821707
10.517253,100,43.866069
-0.376055,400,44.638583
0.362451,400,44.820547
11.018804,101,44.861892
0.155995,400,45.041229
10.883234,209,45.133572
10.846611,149,45.199537
10.615363,87,45.246083
10.341402,108,45.358626
10.345388,134,45.432346
10.851763,157,46.049174
0.2122,400,46.256112
0.214509,400,46.410181
0.481736,400,46.554046
-0.127135,400,46.698749
10.355756,95,46.733671
-0.022502,400,47.331254
0.066964,400,47.984022
10.758531,88,48.0178
0.404175,400,48.155348
10.726231,141,48.206413
11.11117,98,48.241725
10.600021,132,48.292308
-0.31916,400,48.43499
-0.388971,400,49.034116
-0.726162,400,49.217382
10.754097,142,49.26322
0.396305,400,49.414587
0.031655,400,49.555283
0.397988,400,49.70052
10.368184,95,49.737713
10.814087,87,50.209842
10.501147,86,50.250743
-0.841593,400,50.446161
0.088676,400,50.586618
10.140966,80,50.620261
0.434206,400,50.761137
-0.408446,400,50.903044
-0.056625,400,51.511755
10.382403,78,51.552981
-0.242589,400,51.726551
10.22422,101,51.763312
10.346129,202,51.831514
10.787435,218,51.906462
10.524823,48,51.92274
-0.400034,400,52.073227
-0.27896,400,52.219834
10.337086,89,52.728734
10.586006,76,52.774455
10.224058,80,52.817684
10.783031,86,52.859743
10.634958,93,52.905539
10.322007,199,52.985905
-0.731305,400,53.132181
-0.6962,400,53.31774
0.093851,400,53.515711
10.539236,147,53.580353
0.121969,400,54.770786
10.525989,85,54.819795
10.473879,100,54.875359
10.41403,99,54.914899
0.449719,400,55.049637
10.346556,88,55.080274
10.853157,183,55.140021
